,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
152,Paan Singh Tomar,2012,Not Rated,135 min,"Action, Biography, Crime",8.2,"36,532","$40,311"
153,Zindagi Na Milegi Dobara,2011,Not Rated,155 min,"Comedy, Drama, Musical",8.2,"79,029","$3,108,485"
154,The Secret in Their Eyes,2009,R,129 min,"Drama, Mystery, Romance",8.2,"210,379","$6,391,436"
155,Warrior,2011,PG-13,140 min,"Action, Drama, Sport",8.2,"471,707","$13,657,115"
156,Shutter Island,2010,R,138 min,"Mystery, Thriller",8.2,"1,304,246","$128,012,934"
157,Demon Slayer the Movie: Mugen Train,2020,TV-14,117 min,"Animation, Action, Adventure",8.2,"58,130","$49,505,008"
158,Miracle in Cell No. 7,2019,TV-14,132 min,Drama,8.2,"49,036",N/A
159,The Father,2020,PG-13,97 min,"Drama, Mystery",8.2,"152,832","$2,122,771"
160,The Wolf of Wall Street,2013,R,180 min,"Biography, Comedy, Crime",8.2,"1,399,180","$116,900,694"
161,No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.2,"969,524","$74,283,625"
162,My Father and My Son,2005,Not Rated,112 min,"Drama, Family",8.2,"87,097",N/A
163,There Will Be Blood,2007,R,158 min,Drama,8.2,"584,473","$40,222,514"
164,Pan's Labyrinth,2006,R,118 min,"Drama, Fantasy, War",8.2,"668,255","$37,646,380"
165,V for Vendetta,2005,R,132 min,"Action, Drama, Sci-Fi",8.2,"1,119,205","$70,511,035"
166,Batman Begins,2005,PG-13,140 min,"Action, Crime, Drama",8.2,"1,463,747","$206,863,479"
167,Swades,2004,Not Rated,189 min,"Drama, Musical",8.2,"91,186","$1,223,240"
168,Downfall,2004,R,156 min,"Biography, Drama, History",8.2,"356,436","$5,509,040"
169,Howl's Moving Castle,2004,PG,119 min,"Animation, Adventure, Family",8.2,"394,925","$6,789,268"
170,A Beautiful Mind,2001,PG-13,135 min,"Biography, Drama",8.2,"929,009","$170,742,341"
171,Kill Bill: Vol. 1,2003,R,111 min,"Action, Crime, Drama",8.2,"1,110,833","$70,099,045"
172,Finding Nemo,2003,G,100 min,"Animation, Adventure, Comedy",8.2,"1,041,093","$380,843,261"
173,Snatch,2000,R,102 min,"Comedy, Crime",8.2,"854,836","$30,328,156"
174,The Sixth Sense,1999,PG-13,107 min,"Drama, Mystery, Thriller",8.2,"990,475","$293,506,292"
175,"Lock, Stock and Two Smoking Barrels",1998,R,107 min,"Action, Comedy, Crime",8.2,"582,370","$3,753,929"
176,The Truman Show,1998,PG,103 min,"Comedy, Drama",8.2,"1,076,176","$125,618,201"
177,L.A. Confidential,1997,R,138 min,"Crime, Drama, Mystery",8.2,"582,085","$64,616,940"
178,Children of Heaven,1997,PG,89 min,"Drama, Family, Sport",8.2,"75,263","$933,933"
179,Casino,1995,R,178 min,"Crime, Drama",8.2,"519,897","$42,512,375"
180,Jurassic Park,1993,PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,"985,724","$404,214,720"
181,Unforgiven,1992,R,130 min,"Drama, Western",8.2,"412,107","$101,167,799"
182,Indiana Jones and the Last Crusade,1989,PG-13,127 min,"Action, Adventure",8.2,"753,355","$197,171,806"
183,Die Hard,1988,R,132 min,"Action, Thriller",8.2,"874,631","$83,844,093"
184,Ran,1985,R,162 min,"Action, Drama, War",8.2,"126,126","$4,135,750"
185,The Thing,1982,R,109 min,"Horror, Mystery, Sci-Fi",8.2,"423,800","$19,629,760"
186,Raging Bull,1980,R,129 min,"Biography, Drama, Sport",8.2,"354,225","$23,383,987"
187,The Elephant Man,1980,PG,124 min,"Biography, Drama",8.2,"242,086","$26,010,864"
188,Taxi Driver,1976,R,114 min,"Crime, Drama",8.2,"829,151","$28,262,574"
189,Monty Python and the Holy Grail,1975,PG,91 min,"Adventure, Comedy, Fantasy",8.2,"541,779","$1,827,696"
190,Dersu Uzala,1975,G,142 min,"Adventure, Biography, Drama",8.2,"30,160",N/A
191,Chinatown,1974,R,130 min,"Drama, Mystery, Thriller",8.2,"327,246","$29,200,000"
192,Z,1969,M/PG,127 min,"Crime, Drama, Thriller",8.2,"29,179","$83,305"
193,For a Few Dollars More,1965,R,132 min,Western,8.2,"257,059","$15,000,000"
194,The Great Escape,1963,Approved,172 min,"Adventure, Drama, History",8.2,"244,968",N/A
195,Yojimbo,1961,Not Rated,110 min,"Action, Drama, Thriller",8.2,"123,421","$46,808"
196,Some Like It Hot,1959,Passed,121 min,"Comedy, Music, Romance",8.2,"267,900",N/A
197,The Bridge on the River Kwai,1957,PG,161 min,"Adventure, Drama, War",8.2,"221,252","$27,200,000"
198,Dial M for Murder,1954,PG,105 min,"Crime, Thriller",8.2,"176,723","$24,845"
199,Tokyo Story,1953,Not Rated,136 min,Drama,8.2,"62,237",N/A
200,The Wages of Fear,1953,Not Rated,131 min,"Adventure, Drama, Thriller",8.2,"61,682",N/A
201,Umberto D.,1952,Not Rated,89 min,Drama,8.2,"26,157","$71,816"
202,Rashomon,1950,Not Rated,88 min,"Crime, Drama, Mystery",8.2,"168,826","$46,808"
203,All About Eve,1950,Passed,138 min,Drama,8.2,"131,701","$63,463"
204,The Treasure of the Sierra Madre,1948,Passed,126 min,"Adventure, Drama, Western",8.2,"125,472","$5,014,000"
205,To Be or Not to Be,1942,Passed,99 min,"Comedy, Romance, War",8.2,"37,635","$3,270,000"
206,Gone with the Wind,1939,Passed,238 min,"Drama, Romance, War",8.2,"316,175","$200,882,193"
207,The Passion of Joan of Arc,1928,Passed,114 min,"Biography, Drama, History",8.2,"55,266","$21,877"
208,The General,1926,Passed,67 min,"Action, Adventure, Comedy",8.2,"92,056",N/A
209,The Gold Rush,1925,Passed,95 min,"Adventure, Comedy, Drama",8.2,"111,957",N/A
210,Sherlock Jr.,1924,Passed,45 min,"Action, Comedy, Romance",8.2,"50,308","$977,375"
211,Portrait of a Lady on Fire,2019,R,122 min,"Drama, Romance",8.1,"91,159","$3,759,854"
212,Everything Everywhere All at Once,2022,R,139 min,"Action, Adventure, Comedy",8.1,"235,962","$70,008,593"
213,Pink,2016,Not Rated,136 min,"Crime, Drama, Thriller",8.1,"45,479",N/A
214,A Silent Voice: The Movie,2016,Not Rated,130 min,"Animation, Drama",8.1,"82,348","$764,723"
215,"Three Billboards Outside Ebbing, Missouri",2017,R,115 min,"Comedy, Crime, Drama",8.1,"503,987","$54,513,740"
216,Talvar,2015,Not Rated,132 min,"Crime, Drama, Mystery",8.1,"35,751","$342,370"
217,Klaus,2019,PG,96 min,"Animation, Adventure, Comedy",8.1,"148,992",N/A
218,Masaan,2015,N/A,109 min,Drama,8.1,"28,330",N/A
219,The Handmaiden,2016,Not Rated,145 min,"Drama, Romance, Thriller",8.1,"147,807","$2,006,788"
220,Bajrangi Bhaijaan,2015,Not Rated,163 min,"Action, Adventure, Comedy",8.1,"88,919","$8,178,001"
221,Queen,2013,Not Rated,146 min,"Adventure, Comedy, Drama",8.1,"66,040",N/A
222,Logan,2017,R,137 min,"Action, Drama, Sci-Fi",8.1,"760,866","$226,277,068"
223,Room,2015,R,118 min,"Drama, Thriller",8.1,"420,305","$14,677,654"
224,Wild Tales,2014,R,122 min,"Comedy, Drama, Thriller",8.1,"199,023","$3,106,530"
225,Tangerines,2013,Not Rated,87 min,"Drama, War",8.1,"46,590","$144,501"
226,Winter Sleep,2014,Not Rated,196 min,Drama,8.1,"51,968",N/A
227,PK,2014,Not Rated,153 min,"Comedy, Drama, Sci-Fi",8.1,"188,476","$10,616,104"
228,OMG: Oh My God!,2012,Not Rated,125 min,"Comedy, Drama, Fantasy",8.1,"59,325",N/A
229,The Grand Budapest Hotel,2014,R,99 min,"Adventure, Comedy, Crime",8.1,"803,421","$59,301,324"
230,Gone Girl,2014,R,149 min,"Drama, Mystery, Thriller",8.1,"979,382","$167,767,189"
231,Wolf Children,2012,PG,117 min,"Animation, Drama, Family",8.1,"45,373",N/A
232,Hacksaw Ridge,2016,R,139 min,"Biography, Drama, History",8.1,"521,692","$67,209,615"
233,Barfi!,2012,Not Rated,151 min,"Comedy, Drama, Romance",8.1,"82,538","$2,804,874"
234,12 Years a Slave,2013,R,134 min,"Biography, Drama, History",8.1,"700,326","$56,671,993"
235,Rush,2013,R,123 min,"Action, Biography, Drama",8.1,"480,120","$26,947,624"
236,Ford v Ferrari,2019,PG-13,152 min,"Action, Biography, Drama",8.1,"391,707","$117,624,357"
237,Spotlight,2015,R,129 min,"Biography, Crime, Drama",8.1,"469,449","$45,055,776"
238,Kahaani,2012,Not Rated,122 min,"Mystery, Thriller",8.1,"63,231",N/A
239,Udaan,2010,Not Rated,134 min,Drama,8.1,"45,280","$7,461"
240,The Help,2011,PG-13,146 min,Drama,8.1,"459,753","$169,708,112"
241,Prisoners,2013,R,153 min,"Crime, Drama, Mystery",8.1,"708,748","$61,002,302"
242,Mad Max: Fury Road,2015,R,120 min,"Action, Adventure, Sci-Fi",8.1,"998,882","$154,109,060"
243,A Wednesday,2008,Not Rated,104 min,"Action, Crime, Drama",8.1,"78,834",N/A
244,Gran Torino,2008,R,116 min,Drama,8.1,"775,509","$148,095,302"
245,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130 min,"Adventure, Family, Fantasy",8.1,"872,242","$381,447,587"
246,Article 15,2019,Not Rated,130 min,"Crime, Drama, Mystery",8.1,"33,912",N/A
247,Hachi: A Dog's Tale,2009,G,93 min,"Biography, Drama, Family",8.1,"285,203",N/A
248,Mary and Max,2009,Not Rated,92 min,"Animation, Comedy, Drama",8.1,"177,525",N/A
249,How to Train Your Dragon,2010,PG,98 min,"Animation, Action, Adventure",8.1,"739,031","$217,581,231"
250,Let's Go! India,2007,Not Rated,153 min,"Drama, Family, Sport",8.1,"80,777",N/A
251,Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",8.1,"622,810","$18,354,356"
252,Rang De Basanti,2006,Not Rated,167 min,"Comedy, Crime, Drama",8.1,"119,390","$2,197,694"
